name,price,comnum,link
 Python数据分析实战,62.4,173,http://product.dangdang.com/25154069.html
 全栈软件测试自动化 Selenium和Appium Python版 软件测试教程书籍 自动化测试全程,29.5,0,http://product.dangdang.com/1581110485.html
 Python与数据科学,41.8,142,http://product.dangdang.com/23940557.html
 Python实战之数据分析与处理,55.6,3,http://product.dangdang.com/28510833.html
 Python机器学习,62.4,1325,http://product.dangdang.com/24224397.html
 Python开发案例教程,49.0,13,http://product.dangdang.com/26488844.html
 Selenium WebDriver自动化测试完全指南,34.5,0,http://product.dangdang.com/28528821.html
 流畅的Python PSF研究员 知名PyCon演讲者心血之作 全面深入 对Python语言关键特性剖析到位+Pyth,218.0,1,http://product.dangdang.com/1191320287.html
 正版 Python与量化投资从基础到实战 python编程从入门到实践 python基础教程书籍 python核心编程,69.0,1,http://product.dangdang.com/1535676843.html
 正版 Python编程无师自通——专业程序员的养成+Python编程 2册 编程语言与程序设计 计算,119.9,0,http://product.dangdang.com/1243327088.html
 零起点Python机器学习快速入门,41.0,0,http://product.dangdang.com/1476138095.html
 全面释放Python的数据分析能力，掌握大数据时代核心技术，轻松入门数据挖掘技术并将其应用于实际项目+数据科学实战手册,115.0,0,http://product.dangdang.com/1207649887.html
 包邮 [套装书]Python编程从0到1（视频教学版）+深度学习之TensorF|8063165,121.0,0,http://product.dangdang.com/1529879085.html
 包邮 [套装书]Python金融数据分析+Python金融大数据挖掘与分析全流程|8062457,108.0,0,http://product.dangdang.com/1522723055.html
 包邮 [套装书]Python深度学习：基于PyTorch+神经网络与深度学习实战|8064744,134.6,1,http://product.dangdang.com/1542153585.html
 正版 Python编程无师自通 专业程序员的养成+用Python写网络爬虫 共三本 算机与互联网,133.8,0,http://product.dangdang.com/1243147288.html
 L正版Python自然语言处理实战：核心技术与算法 涂铭 刘祥 刘树春 9787111597674 机械工业出版社,65.55,0,http://product.dangdang.com/1615187779.html
 零起点Python大数据与量化交易 Python量化投资基础入门 Python代码大全 大数据分析教程 量化交易学习教,98.0,0,http://product.dangdang.com/1156149604.html
 3本 用Python写网络爬虫+实战+Python3爬虫数据清洗与可视化实战 框架Scrapy安装 程序设计 计算机网,153.5,0,http://product.dangdang.com/1508027185.html
 教孩子学Python编程 父与子的编程之旅少儿编程入门基础教程书籍计算机程序设计入门教程青少年儿童趣味编程图书籍,168.8,0,http://product.dangdang.com/1614285108.html
