,name,price,shop
167,"['\t\nikbc W200 机械', ' 2.4G无线 游戏', ' 87键 cherry轴 樱桃轴 无线机械', ' 白色 红轴']",['448.00'],['ikbc京东自营旗舰店']
168,"['ikbc C200 机械', ' 有线', ' 游戏', ' 87键 cherry轴 樱桃轴 吃鸡神器 笔记本', ' 粉色 红轴']",['388.00'],['ikbc京东自营旗舰店']
169,"['\t\n方正(iFound)W6208PLUS无线', '鼠标套装 自营办公无线键鼠套装 防水', '便携usb电脑', '台式笔记本']",['45.00'],['方正（iFound）外设京东自营旗舰店']
170,"['\t\nikbc C200 机械', ' 有线', ' 游戏', ' 87键 cherry轴 樱桃轴 吃鸡神器 笔记本', ' 绿色 茶轴']",['388.00'],['ikbc京东自营旗舰店']
171,"['\t\nikbc C87 机械', ' 有线', ' 游戏', ' 87键 原厂cherry轴 樱桃轴 吃鸡神器  笔记本', ' 黑色 黑轴']",['358.00'],['ikbc京东自营旗舰店']
172,"['前行者游戏背光发光牧马人真机械手感', '鼠标套装吃鸡键鼠台式有线薄膜网吧外设电脑笔记本办公套外接', ' 牧马人无背光黑色单']",['35.00'],['敏涛数码专营店']
173,"['\t\nikbc C210 机械', ' 有线', ' 游戏', ' 108键 cherry轴 樱桃轴 吃鸡神器 笔记本', ' 粉色 红轴']",['438.00'],['ikbc京东自营旗舰店']
174,"['银雕（YINDIAO）机械', '游戏专用 笔记本电脑', '台式外接usb 办公打字网红电竞朋克有线', ' 黑色混光（青轴）']",['89.00'],['维刚数码专营店']
175,"['\t\n黑爵（AJAZZ）刺客ⅡAK35I合金机械', ' 有线', ' 游戏', ' 110键白光 多媒体吃鸡', ' 电脑', ' 黑色黑轴']",['169.00'],['黑爵京东自营官方旗舰店']
176,"['机械师K7蓝牙双模式机械', ' 有线无线双模式游戏电竞办公', ' 笔记本电脑台式机平板手机', ' 87键-双模-冰蓝光-(默认青轴）']",['219.00'],['MACHENIKE机械师旗舰店']
177,"['\n米物（MIIIW）双模蓝牙', ' 小米生态链 无线', ' 一键切换 便携轻薄 笔记本 电脑办公', ' 黑色']",['239.00'],['MIIIW京东自营旗舰店']
178,"['\t\n雷柏（Rapoo） V700RGB合金版 机械', ' 有线', ' 游戏', ' 108键RGB背光', ' 可编程', ' 吃鸡', ' 青轴']",['249.00'],['雷柏京东自营官方旗舰店']
179,"['\t\nikbc W200侧刻 机械', ' 2.4G无线 游戏', ' 87键 cherry轴 樱桃轴 无线机械', ' 黑色 茶轴']",['448.00'],['ikbc京东自营旗舰店']
